primordia,leaf,angle,genotype,plant,population
,L1L2,138.15,3130,W12,1
P2P3,L5L6,138.152,3130,3130a,2
,L4L5,138.24,e2,E89,1
,L1L2,138.32,e2,E13,1
,L3L4,138.53,3130,W63,1
P6P7,L1L2,138.55,e2,e27i,2
,L3L4,138.58,3130,W1,1
,L2L3,138.61,3130,W4,1
P1P2,L4L5,138.656,e2,e21b,2
,L1L2,138.72,3130,W103,1
P2P3,L3L4,138.763,e2,e28g,2
,L1L2,138.82,3130,W2,1
,L2L3,138.95,e2,E5,1
,L3L4,138.99,3130,W44,1
P3P4,L4L5,139.111,e2,e27i,2
,L4L5,139.56,3130,W76,1
,L1L2,139.76,3130,W38,1
,L3L4,139.94,3130,W79,1
,L1L2,140.23,3130,W39,1
,L1L2,140.32,e2,E44,1
P1P2,L3L4,140.421,e2,e29d,2
,L2L3,140.44,3130,W51,1
,L3L4,140.53,e2,E68,1
,L2L3,140.61,3130,W14,1
,L4L5,140.62,3130,W68,1
,L1L2,140.7,3130,W57,1
,L3L4,140.7,3130,W71,1
,L1L2,140.78,e2,E62,1
,L3L4,140.83,3130,W69,1
,L3L4,140.83,3130,W87,1
,L1L2,140.94,3130,W84,1
P3P4,L4L5,140.953,3130,3130ff,2
,L3L4,141.03,3130,W23,1
,L1L2,141.29,3130,W27,1
,L3L4,141.37,3130,W103,1
P2P3,L5L6,141.416,3130,3130w,2
,L3L4,141.48,3130,W68,1
,L2L3,141.57,e2,E4,1
,L2L3,141.65,e2,E2,1
,L3L4,141.67,3130,W59,1
,L2L3,141.7,e2,E27,1
,L4L5,141.84,e2,E97,1
,L4L5,141.87,3130,W102,1
,L1L2,141.95,e2,E93,1
P5P6,L2L3,142.224,e2,e27i,2
P3P4,L3L4,142.238,e2,e23g,2
,L3L4,142.54,3130,W61,1
,L1L2,142.62,3130,W4,1
P3P4,L1L2,142.658,e2,e23e,2
,L2L3,142.82,e2,E102,1
,L1L2,142.88,3130,W28,1
,L2L3,143.1,3130,W5,1
,L2L3,143.29,3130,W94,1
,L1L2,143.34,e2,E71,1
,L1L2,143.53,3130,W94,1
,L3L4,143.56,3130,W25,1
,L1L2,143.62,3130,W36,1
,L3L4,143.64,e2,E100,1
,L2L3,143.79,3130,W72,1
,L4L5,143.89,e2,E59,1
,L4L5,143.93,e2,E108,1
,L1L2,144,3130,W100,1
,L1L2,144.08,3130,W72,1
,L3L4,144.09,3130,W35,1
P6P7,L1L2,144.092,3130,3130ff,2
,L2L3,144.4,3130,W46,1
,L1L2,144.46,3130,W21,1
,L4L5,144.63,e2,E105,1
,L3L4,144.67,3130,W13,1
,L1L2,144.68,3130,W14,1
,L1L2,144.73,3130,W73,1
,L2L3,144.76,3130,W83,1
,L1L2,144.77,e2,E19,1
,L3L4,144.87,3130,W50,1
,L1L2,145.07,e2,E59,1
,L1L2,145.29,3130,W5,1
,L3L4,145.32,3130,W49,1
P5P6,L1L2,145.324,3130,3130p,2
P4P5,L2L3,145.333,e2,e23g,2
,L1L2,145.39,3130,W67,1
P6P7,L1L2,145.521,3130,3130k,2
,L1L2,145.57,3130,W41,1
,L2L3,145.74,3130,W18,1
,L3L4,145.78,3130,W40,1
,L4L5,145.8,3130,W72,1
,L3L4,145.95,3130,W34,1
,L3L4,146.04,3130,W24,1
,L1L2,146.17,e2,E81,1
P3P4,L5L6,146.306,3130,3130b,2
,L4L5,146.31,e2,E57,1
,L3L4,146.34,3130,W102,1
,L3L4,146.55,3130,W46,1
,L4L5,146.65,3130,W94,1
P4P5,L3L4,146.687,e2,e27i,2
,L2L3,146.71,e2,E107,1
,L2L3,146.78,3130,W70,1
,L2L3,146.81,3130,W8,1
,L3L4,146.99,3130,W8,1
,L1L2,147.16,3130,W104,1
,L1L2,147.25,e2,E29,1
,L1L2,147.26,e2,E108,1
,L1L2,147.27,3130,W49,1
P4P5,L3L4,147.309,e2,e27g,2
,L3L4,147.33,3130,W41,1
,L1L2,147.34,e2,E73,1
P3P4,L4L5,147.402,e2,e27g,2
,L4L5,147.77,3130,W77,1
,L1L2,147.81,3130,W53,1
,L1L2,147.84,3130,W26,1
P2P3,L4L5,147.863,3130,3130x,2
,L2L3,147.9,e2,E96,1
,L1L2,147.96,3130,W60,1
,L2L3,147.99,3130,W101,1
,L2L3,148,3130,W49,1
,L3L4,148.04,3130,W88,1
,L2L3,148.04,e2,E16,1
,L2L3,148.1,e2,E106,1
,L2L3,148.48,e2,E56,1
,L2L3,148.7,e2,E77,1
P1P2,L6L7,148.948,3130,3130k,2
,L2L3,148.95,3130,W63,1
,L3L4,148.96,3130,W20,1
P5P6,L3L4,149.109,3130,3130b,2
,L1L2,149.11,3130,W78,1
,L1L2,149.14,e2,E43,1
,L3L4,149.22,3130,W45,1
,L1L2,149.32,3130,W40,1
,L3L4,149.38,3130,W85,1
P1P2,L5L6,149.432,3130,3130p,2
,L4L5,149.47,3130,W58,1
,L3L4,149.6,3130,W101,1
,L1L2,149.62,e2,E63,1
,L1L2,149.84,e2,E38,1
,L3L4,149.88,3130,W74,1
,L1L2,150.05,3130,W29,1
,L3L4,150.06,3130,W19,1
P3P4,L3L4,150.181,3130,3130q,2
P2P3,L4L5,150.198,3130,3130p,2
,L1L2,150.26,e2,E20,1
P3P4,L1L2,150.297,e2,e23k,2
,L1L2,150.34,3130,W75,1
,L3L4,150.34,e2,E80,1
,L1L2,150.46,3130,W50,1
,L3L4,150.59,3130,W57,1
,L1L2,150.7,3130,W101,1
,L4L5,150.75,3130,W55,1
,L3L4,150.75,e2,E71,1
,L1L2,150.85,e2,E3,1
,L2L3,150.86,e2,E15,1
,L1L2,151.15,3130,W44,1
,L3L4,151.16,3130,W48,1
,L1L2,151.16,e2,E60,1
,L1L2,151.59,3130,W58,1
,L3L4,151.89,3130,W4,1
,L3L4,152.03,3130,W36,1
,L3L4,152.16,3130,W26,1
,L1L2,152.32,3130,W79,1
,L2L3,152.33,3130,W56,1
,L3L4,152.55,e2,E101,1
P1P2,L6L7,152.596,3130,3130w,2
,L1L2,152.73,3130,W37,1
,L3L4,152.81,e2,E95,1
,L1L2,153.06,3130,W7,1
,L3L4,153.09,3130,W95,1
,L1L2,153.15,e2,E75,1
,L1L2,153.43,3130,W46,1
P4P5,L1L2,153.486,e2,e21b,2
,L2L3,153.68,e2,E1,1
,L3L4,153.84,3130,W65,1
,L3L4,153.92,3130,W33,1
,L1L2,154.12,3130,W1,1
,L3L4,154.25,e2,E82,1
,L4L5,154.35,3130,W63,1
,L3L4,154.4,e2,E74,1
,L2L3,154.83,e2,E38,1
,L4L5,154.89,e2,E104,1
,L3L4,154.91,e2,E85,1
,L1L2,155.18,e2,E16,1
,L3L4,155.18,e2,E97,1
,L1L2,155.19,3130,W18,1
,L1L2,155.24,3130,W80,1
P5P6,L1L2,155.42,3130,3130f,2
,L1L2,155.43,3130,W10,1
,L3L4,155.71,3130,W77,1
P1P2,L7L8,156.009,e2,e28c,2
,L2L3,156.13,e2,E51,1
,L1L2,156.21,e2,E80,1
,L1L2,156.25,e2,E22,1
,L1L2,156.25,e2,E68,1
,L1L2,156.41,3130,W11,1
,L1L2,156.56,3130,W56,1
,L2L3,156.75,3130,W80,1
P3P4,L1L2,156.764,e2,e23m,2
P4P5,L3L4,156.841,3130,3130ff,2
,L1L2,156.86,3130,W86,1
P4P5,L3L4,156.995,3130,3130w,2
,L1L2,157.02,e2,E96,1
,L3L4,157.29,3130,W47,1
P4P5,L3L4,157.322,3130,3130k,2
,L4L5,157.37,3130,W69,1
,L1L2,157.54,e2,E33,1
,L2L3,157.6,3130,W54,1
,L1L2,157.6,e2,E12,1
,L1L2,157.88,3130,W102,1
,L4L5,157.88,e2,E60,1
,L3L4,157.94,e2,E46,1
P3P4,L4L5,158.113,3130,3130a,2
,L1L2,158.43,3130,W98,1
,L1L2,158.49,e2,E4,1
P3P4,L3L4,158.582,3130,3130f,2
,L2L3,158.62,e2,E72,1
,L1L2,158.67,3130,W90,1
,L3L4,158.71,3130,W99,1
,L1L2,158.73,e2,E55,1
,L4L5,158.81,e2,E72,1
P2P3,L3L4,159.107,e2,e21b,2
,L4L5,159.14,3130,W75,1
P5P6,L1L2,159.19,3130,3130z,2
,L1L2,159.24,e2,E18,1
,L4L5,159.37,e2,E106,1
P4P5,L1L2,159.479,e2,e29c,2
P5P6,L1L2,159.8,3130,3130q,2
,L3L4,160.02,3130,W37,1
,L1L2,160.02,e2,E89,1
,L1L2,160.1,3130,W91,1
,L3L4,160.3,e2,E37,1
,L1L2,160.35,e2,E46,1
,L1L2,160.39,3130,W74,1
,L1L2,160.42,3130,W24,1
,L3L4,160.59,e2,E93,1
,L1L2,160.88,e2,E74,1
,L1L2,160.95,3130,W87,1
P1P2,L3L4,161.142,e2,e23m,2
,L1L2,161.17,3130,W61,1
,L3L4,161.39,e2,E53,1
,L3L4,161.49,e2,E4,1
,L1L2,161.51,3130,W22,1
,L1L2,161.57,3130,W3,1
,L3L4,161.57,e2,E86,1
,L3L4,161.75,3130,W96,1
,L3L4,161.78,3130,W30,1
P6P7,L1L2,161.837,3130,3130a,2
,L2L3,161.91,e2,E46,1
,L4L5,162.08,e2,E83,1
,L2L3,162.19,e2,E13,1
,L1L2,162.29,3130,W93,1
,L1L2,162.33,3130,W9,1
,L4L5,162.47,e2,E101,1
,L4L5,162.55,e2,E96,1
,L3L4,162.61,e2,E65,1
,L1L2,162.65,e2,E28,1
P1P2,L4L5,162.73,e2,e29g,2
,L1L2,162.74,e2,E15,1
,L3L4,162.77,e2,E105,1
,L1L2,162.83,e2,E11,1
P1P2,L3L4,163.109,e2,e23e,2
,L3L4,163.22,e2,E19,1
,L1L2,163.37,3130,W15,1
,L1L2,163.45,3130,W96,1
,L4L5,163.56,e2,E90,1
,L2L3,163.6,e2,E44,1
,L1L2,163.83,e2,E26,1
P6P7,L1L2,163.866,3130,3130w,2
,L3L4,163.91,e2,E88,1
,L3L4,164.15,e2,E16,1
P6P7,L1L2,164.379,e2,e28e,2
,L1L2,164.83,e2,E103,1
,L3L4,165.07,e2,E35,1
,L1L2,165.09,e2,E32,1
,L2L3,165.28,e2,E30,1
,L3L4,165.53,e2,E75,1
,L3L4,165.55,3130,W5,1
,L1L2,165.62,3130,W31,1
,L4L5,165.66,3130,W90,1
,L1L2,165.73,e2,E82,1
,L1L2,165.82,3130,W32,1
,L3L4,165.82,e2,E63,1
,L1L2,166.06,3130,W43,1
,L2L3,166.06,e2,E32,1
P3P4,L2L3,166.287,e2,e28g,2
,L2L3,166.6,e2,E35,1
P2P3,L3L4,166.615,e2,e28p,2
,L3L4,166.71,e2,E41,1
,L2L3,166.72,e2,E9,1
,L4L5,167.13,e2,E99,1
,L1L2,167.28,e2,E37,1
,L3L4,167.3,e2,E26,1
,L1L2,167.39,3130,W13,1
,L1L2,167.5,3130,W23,1
,L1L2,167.54,3130,W30,1
,L3L4,167.58,e2,E58,1
,L3L4,167.68,e2,E94,1
,L1L2,167.78,e2,E25,1
,L3L4,167.86,e2,E102,1
,L3L4,167.96,e2,E38,1
,L1L2,168.01,3130,W47,1
,L1L2,168.19,e2,E27,1
,L3L4,168.26,e2,E108,1
