id,rachisLength ,terminalLeafLength,primary,secondary,intercalary,total
127D,22.561,7.48,7,4,6,17
128D,15.206,7.106,7,4,4,15
129D,21.792,7.994,7,7,5,19
130D,21.884,8.413,7,7,2,16
131D,19.313,9.274,7,3,2,12
132D,19.988,6.889,7,5,6,18
133D,0,0,0,0,0,0
134D,21.218,7.048,9,6,10,25
135D,17.359,7.737,7,4,2,13
136D,18.902,7.814,7,6,2,15
137D,15.221,6.175,7,5,2,14
138D,17.744,9.184,7,5,2,14
139D,19.232,7.822,7,4,2,13
140D,17.318,8.763,7,3,2,12
141D,0,0,0,0,0,0
142D,17.837,7.689,9,5,1,15
143D,18.757,7.695,8,2,4,14
144D,17.058,7.607,7,10,2,19
145E,16.354,7.292,6,3,5,14
146E,0,0,0,0,0,0
147E,19.223,7.659,7,2,6,15
148E,18.221,7.61,7,2,2,11
149E,21.041,7.139,7,8,2,17
150E,0,0,0,0,0,0
151E,18.423,6.934,7,6,2,15
152E,20.289,7.976,7,5,2,14
153E,19.586,7.143,7,2,3,12
154E,19.069,7.128,7,6,4,17
155E,20.583,6.127,7,7,4,18
156E,20.284,8.806,7,5,4,16
157E,20.257,6.622,7,5,3,15
158E,15.097,8.768,7,7,2,16
159E,20.458,7.668,7,6,4,17
160E,18.137,7.157,7,5,3,15
161E,0,0,0,0,0,0
162E,22.191,7.752,7,4,6,17
163E,23.368,7.895,9,4,5,18
164E,22.35,8.29,7,5,3,15
165E,20.881,7.556,7,5,1,13
166E,19.826,7.546,7,7,4,18
167E,19.992,7.963,7,5,1,13
168E,15.537,5.904,7,5,2,14
WT1,8.249,4.157,5,0,0,5
WT2,8.888,3.179,5,0,0,5
WT3,11.036,5.405,5,3,2,10
WT4,13.792,5.921,5,3,5,13
WT5,15.1,6.148,7,3,5,15
WT6,13.417,5.39,5,2,1,8
WT7,15.567,6.948,5,3,4,12
WT8,14.233,5.865,5,2,3,10
WT9,19.429,6.79,7,1,0,8
WT10,12.945,5.813,5,0,1,6
WT11,16.828,7.316,7,7,3,17
WT12,15.158,5.935,7,3,5,15
WT13,12.626,5.583,6,1,0,7
WT14,16.794,7.121,7,1,10,18
WT15,16.303,6.18,7,3,2,12
WT16,8.928,5.088,5,0,0,5
E1,15.856,6.874,7,4,2,13
E2,18.331,7.909,7,4,2,13
E3,18.785,7.917,7,1,2,10
E4,16.466,6.904,9,2,1,12
E5,20.422,6.95,7,4,4,15
E6,NA,NA,0,0,0,0
E7,NA,NA,0,0,0,0
E8,NA,NA,0,0,0,0
E9,NA,NA,0,0,0,0
E10,19.039,6.688,8,1,4,13
E11,18.237,8.49,7,1,1,9
E12,14.098,7.501,5,1,0,6
E13,19.185,7.217,7,2,1,10
