Label,Area,Perim.,Circ.,AR,Round,Solidity
L1_EF9.bmp,18.806,29.223,0.277,1.059,0.945,0.941
L1_EG1.bmp,10.928,22.719,0.266,1.234,0.81,0.941
L1_EG1.bmp,3.40E-04,0.052,1,1,1,1
L1_EG11.bmp,13.267,33.321,0.15,1.346,0.743,0.926
L1_EG11.bmp,0.002,0.23,0.564,2.596,0.385,0.778
L1_EG12.bmp,15.037,32.516,0.179,1.408,0.71,0.919
L1_EG12.bmp,15.62,29.322,0.228,1.414,0.707,0.92
L1_EG14.bmp,0.002,0.156,0.873,1.496,0.668,0.714
L1_EG14.bmp,11.177,34.866,0.116,1.287,0.777,0.885
L1_EG15.bmp,20.755,43.697,0.137,1.195,0.837,0.904
L1_EG15.bmp,6.80E-04,0.089,1,2,0.5,1
L1_EG16.bmp,12.811,32.236,0.155,1.214,0.824,0.904
L1_EG16.bmp,13.39,27.061,0.23,1.218,0.821,0.924
L1_EG17.bmp,0.001,0.141,0.857,2,0.5,0.8
L1_EG17.bmp,21.519,33.633,0.239,1.309,0.764,0.939
L1_EG18.bmp,15.465,41.468,0.113,1.247,0.802,0.886
L1_EG18.bmp,15.465,41.468,0.113,1.247,0.802,0.886
L1_EG2.bmp,14.904,36.515,0.14,1.316,0.76,0.933
L1_EG2.bmp,3.40E-04,0.052,1,1,1,1
L1_EG3.bmp,3.40E-04,0.052,1,1,1,1
L1_EG3.bmp,19.983,45.132,0.123,1.396,0.716,0.885
L1_EG4.bmp,0.003,0.347,0.319,9,0.111,1
L1_EG4.bmp,15.704,39.05,0.129,1.375,0.727,0.884
L1_EG5.bmp,0.003,0.246,0.567,2.168,0.461,0.667
L1_EG5.bmp,17.68,41.858,0.127,1.228,0.814,0.885
L1_EG7.bmp,0.003,0.31,0.355,8,0.125,1
L1_EG7.bmp,10.463,30.741,0.139,1.188,0.842,0.879
L1_EG8.bmp,3.40E-04,0.052,1,1,1,1
L1_EG8.bmp,15.576,39.145,0.128,1.285,0.778,0.892
L1_EG9.bmp,0.004,0.387,0.371,1.56,0.641,0.619
L1_EG9.bmp,16.604,34.148,0.179,1.366,0.732,0.927
L1_EH1.bmp,13.526,27.788,0.22,1.342,0.745,0.943
L1_EH1.bmp,13.526,27.788,0.22,1.342,0.745,0.943
L1_EH10.bmp,20.12,44.53,0.128,1.309,0.764,0.899
L1_EH10.bmp,20.882,33.288,0.237,1.306,0.765,0.921
L1_EH12.bmp,17.814,32.703,0.209,1.303,0.768,0.889
L1_EH12.bmp,17.074,38.987,0.141,1.309,0.764,0.872
L1_EH13.bmp,0.003,0.246,0.567,1.168,0.856,0.64
L1_EH13.bmp,17.973,43.828,0.118,1.282,0.78,0.875
L1_EH14.bmp,17.008,28.689,0.26,1.247,0.802,0.949
L1_EH14.bmp,3.40E-04,0.052,1,1,1,1
L1_EH15.bmp,6.80E-04,0.089,1,2,0.5,1
L1_EH15.bmp,16.494,28.842,0.249,1.345,0.743,0.952
L1_EH16.bmp,13.268,25.395,0.259,1.284,0.779,0.93
L1_EH16.bmp,3.40E-04,0.052,1,1,1,1
L1_EH17.bmp,0.001,0.141,0.857,2.031,0.492,0.8
L1_EH17.bmp,17.43,43.788,0.114,1.538,0.65,0.844
L1_EH18.bmp,0.003,0.246,0.567,1.776,0.563,0.667
L1_EH18.bmp,3.40E-04,0.052,1,1,1,1
L1_EH2.bmp,15.626,29.568,0.225,1.334,0.75,0.935
L1_EH2.bmp,3.40E-04,0.052,1,1,1,1
L1_EH3.bmp,0.008,0.541,0.336,4.598,0.217,0.63
L1_EH3.bmp,3.40E-04,0.052,1,1,1,1
L1_EH4.bmp,17.457,30.492,0.236,1.417,0.706,0.918
L1_EH4.bmp,6.80E-04,0.089,1,2,0.5,1
L1_EH7.bmp,12.27,32.28,0.148,1.414,0.707,0.895
